
███████████████████████████████████████████████████████████████████████████
█  PARADIGMA ZERO — SIM-3D v3.1                                        █
█  BLOCO A: IAS15 heartbeat | BLOCO C: Módulo ROTAÇÃO                  █
█  ω_arg analítico | inc=[5,10,15,20]° | Grade v2.0 confirmados        █
█  Sem abort: inc alto requer até 288 anos para 1° encontro           █
███████████████████████████████████████████████████████████████████████████

[09:55:32] REBOUND versão: 4.6.0
[09:55:32] 
[09:55:32] ════════════════════════════════════════════════════════════════════════
[09:55:32]   SIM-3D v3.1 — BLOCO A (IAS15) + BLOCO C (ROTAÇÃO)
[09:55:32]   Integrador: IAS15 heartbeat | T = 500 anos
[09:55:32]   Abort scan: DESATIVADO (inc alto requer até 288 anos p/ 1° encontro)
[09:55:32]   R_CAPTURA = 70.0 R⊕ | R_HILL = 235.0 R⊕ (ROTAÇÃO ativo)
[09:55:32]   [V3.1-R3] ω_arg analítico: r_nodo ≈ 1.0 AU por (a,e)
[09:55:32]   [V3.1-R4] Grade baseada nos 27 candidatos confirmados v2.0
[09:55:32]   inc = [5°, 10°, 15°, 20°] | Física: τ=(3/2)·G·m_L·(C-A)/r³·sin(i)cos(i)
[09:55:32]   Módulo ROTAÇÃO: Δε mensurável em escala de anos (não horas)
[09:55:32]   Grade total: 11,520 simulações | ω_arg únicos gerados: 480
[09:55:32] ════════════════════════════════════════════════════════════════════════
[09:55:32]     inc=7°: 2,880 sims
[09:55:32]     inc=11°: 2,880 sims
[09:55:32]     inc=17°: 2,880 sims
[09:55:32]     inc=23°: 2,880 sims
[09:55:32] 
[09:55:33]   [DIAG 0] r_min=2111 R⊕ | hb_erros=0 | rot_steps=0 | heartbeat OK
[09:55:34]   [DIAG 1] r_min=2387 R⊕ | hb_erros=0 | rot_steps=0 | heartbeat OK
[09:55:34]   [DIAG 2] r_min=1422 R⊕ | hb_erros=0 | rot_steps=0 | heartbeat OK
[11:05:31]   [  7200/11520]  62.5% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:41:59
[11:07:30]   [  7400/11520]  64.2% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:40:03
[11:09:28]   [  7600/11520]  66.0% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:38:07
[11:11:24]   [  7800/11520]  67.7% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:36:10
[11:13:20]   [  8000/11520]  69.4% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:34:13
[11:15:18]   [  8200/11520]  71.2% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:32:17
[11:17:15]   [  8400/11520]  72.9% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:30:20
[11:19:11]   [  8600/11520]  74.7% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:28:24
[11:21:07]   [  8800/11520]  76.4% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:26:27
[11:23:05]   [  9000/11520]  78.1% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:24:30
[11:25:04]   [  9200/11520]  79.9% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:22:34
[11:27:02]   [  9400/11520]  81.6% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:20:37
[11:28:59]   [  9600/11520]  83.3% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:18:41
[11:31:00]   [  9800/11520]  85.1% | 4V:0 3V:0 | r_best:159.0 R⊕ | abort:0% | ETA:0:16:45
[11:32:14]   ★★★ 3 VÍNCULOS | V31-009923 | r_min=68.1 R⊕ | inc=17° ω=286° | Δε=0.0000° | a_PM=1.5164 AU
[11:33:00]   [ 10000/11520]  86.8% | 4V:0 3V:1 | r_best:68.1 R⊕ | abort:0% | ETA:0:14:48
[11:34:58]   [ 10200/11520]  88.5% | 4V:0 3V:1 | r_best:68.1 R⊕ | abort:0% | ETA:0:12:51
[11:36:55]   [ 10400/11520]  90.3% | 4V:0 3V:1 | r_best:68.1 R⊕ | abort:0% | ETA:0:10:55
