a_lua_i,e_lua_i,M0,inc_lua_i,status,dist_min,t_periapsis,dentro_alerta,dentro_hill,dentro_forte
1.65,0.45,0,0,COLISAO,4.321577924891577e-05,9967.019181526366,True,True,True
1.65,0.45,0,10,ESTAVEL,0.0009570254671046472,30564.390068830628,True,True,True
1.65,0.45,0,20,ESTAVEL,0.0031863894373541273,22942.433250648755,True,True,True
1.65,0.45,45,0,EJETADA,5.175964188744914e-05,25902.70620575872,True,True,True
1.65,0.45,45,10,ESTAVEL,0.0035931960904674147,10895.106951858508,True,True,True
1.65,0.45,45,20,ESTAVEL,0.0023279624455854963,49631.175045503696,True,True,True
1.65,0.45,90,0,COLISAO,0.00011623924051175225,4747.038421044641,True,True,True
1.65,0.45,90,10,ESTAVEL,0.0007748907586967492,10702.671787574922,True,True,True
1.65,0.45,90,20,ESTAVEL,0.002390644792602437,49880.217544849904,True,True,True
1.65,0.45,135,0,COLISAO,0.0003673672889159984,7556.499286377608,True,True,True
1.65,0.45,135,10,ESTAVEL,0.002199647042798005,10692.260052456839,True,True,True
1.65,0.45,135,20,ESTAVEL,0.003966462936811567,47114.49800088126,True,True,True
1.65,0.45,180,0,COLISAO,0.0011509179285812644,3960.597135473591,True,True,True
1.65,0.45,180,10,ESTAVEL,0.003112158659139199,4763.838246064617,True,True,True
1.65,0.45,180,20,ESTAVEL,0.003703270183910932,48995.6774817326,True,True,True
1.65,0.45,225,0,COLISAO,0.0016665591207608293,411.61626529479764,True,True,True
1.65,0.45,225,10,ESTAVEL,0.0016933315937061562,18612.191337741355,True,True,True
1.65,0.45,225,20,ESTAVEL,0.002559439292403368,48674.418181936504,True,True,True
1.65,0.45,270,0,COLISAO,0.0006147807880420461,1714.101516248421,True,True,True
1.65,0.45,270,10,ESTAVEL,0.004122052333626241,10633.558684143662,True,True,True
1.65,0.45,270,20,ESTAVEL,0.0002422419781760292,48145.412776417215,True,True,True
1.65,0.45,315,0,COLISAO,0.00018395531760551345,13302.048050792155,True,True,True
1.65,0.45,315,10,ESTAVEL,0.0018469812174919836,32459.917168656906,True,True,True
1.65,0.45,315,20,ESTAVEL,0.0029016518091009654,48347.03794194099,True,True,True
1.65,0.5,0,0,COLISAO,4.332285909087842e-05,9150.861154064738,True,True,True
1.65,0.5,0,10,ESTAVEL,0.0019132160431059434,38850.22126908053,True,True,True
1.65,0.5,0,20,ESTAVEL,0.002403173526383999,7189.862281103423,True,True,True
1.65,0.5,45,0,COLISAO,0.0001339092900301859,11167.126582294326,True,True,True
1.65,0.5,45,10,ESTAVEL,0.004497321917810752,9039.187799723904,True,True,True
1.65,0.5,45,20,ESTAVEL,0.02056137249970896,7444.870876288377,False,False,False
1.65,0.5,90,0,COLISAO,0.0008760867805163712,5536.511282941977,True,True,True
1.65,0.5,90,10,ESTAVEL,0.0012862840207831443,23571.63231420998,True,True,True
