label,a0_RE,e0,a_final_RE,e_final,t_star_a_kyr,t_star_e_kyr,ratio_a,ratio_e,status_a,status_e
P1-03|f3|T=atual_Q12|L=quase_sol,19.68,0.5000,24.31,0.218202,,,,,N/A,NOT REACHED
P1-03|f3|T=atual_Q12|L=semi_sol,19.68,0.5000,23.02,0.108697,,,,,N/A,NOT REACHED
P1-03|f3|T=atual_Q12|L=transicao,19.68,0.5000,21.38,0.055236,,483.30,,40.2746,N/A,PRÓXIMO
P1-03|f3|T=atual_Q12|L=semi_fundid,19.68,0.5000,20.33,0.055096,,152.77,,12.7308,N/A,PRÓXIMO
P1-03|f3|T=atual_Q12|L=fundida,19.68,0.5000,19.94,0.055072,,57.27,,4.7721,N/A,CONSISTENTE
P1-03|f3|T=jovem_Q9|L=quase_sol,19.68,0.5000,25.10,0.219495,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q9|L=semi_sol,19.68,0.5000,23.75,0.117110,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q9|L=transicao,19.68,0.5000,21.92,0.054942,,526.53,,43.8774,N/A,PRÓXIMO
P1-03|f3|T=jovem_Q9|L=semi_fundid,19.68,0.5000,20.54,0.055430,,158.26,,13.1880,N/A,PRÓXIMO
P1-03|f3|T=jovem_Q9|L=fundida,19.68,0.5000,20.03,0.056233,,58.11,,4.8423,N/A,CONSISTENTE
P1-03|f3|T=jovem_Q7|L=quase_sol,19.68,0.5000,25.83,0.219515,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q7|L=semi_sol,19.68,0.5000,24.46,0.124552,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q7|L=transicao,19.68,0.5000,22.51,0.055121,,578.24,,48.1866,N/A,PRÓXIMO
P1-03|f3|T=jovem_Q7|L=semi_fundid,19.68,0.5000,20.79,0.055068,,164.66,,13.7219,N/A,PRÓXIMO
P1-03|f3|T=jovem_Q7|L=fundida,19.68,0.5000,20.12,0.057539,,59.08,,4.9233,N/A,CONSISTENTE
P1-03|f3|T=jovem_Q5|L=quase_sol,19.68,0.5000,26.86,0.217760,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q5|L=semi_sol,19.68,0.5000,25.51,0.134040,,,,,N/A,NOT REACHED
P1-03|f3|T=jovem_Q5|L=transicao,19.68,0.5000,23.55,0.054962,,676.92,,56.4102,N/A,DIVERGENTE
P1-03|f3|T=jovem_Q5|L=semi_fundid,19.68,0.5000,21.22,0.055038,,176.54,,14.7115,N/A,PRÓXIMO
P1-03|f3|T=jovem_Q5|L=fundida,19.68,0.5000,20.30,0.056608,,60.85,,5.0710,N/A,CONSISTENTE
P1-03|f5|T=atual_Q12|L=quase_sol,29.52,0.6667,33.88,0.427682,,,,,N/A,NOT REACHED
P1-03|f5|T=atual_Q12|L=semi_sol,29.52,0.6667,32.20,0.341819,,,,,N/A,NOT REACHED
P1-03|f5|T=atual_Q12|L=transicao,29.52,0.6667,30.99,0.234609,,,,,N/A,NOT REACHED
P1-03|f5|T=atual_Q12|L=semi_fundid,29.52,0.6667,30.35,0.127486,,,,,N/A,NOT REACHED
P1-03|f5|T=atual_Q12|L=fundida,29.52,0.6667,29.99,0.054936,,817.04,,68.0864,N/A,DIVERGENTE
P1-03|f5|T=jovem_Q9|L=quase_sol,29.52,0.6667,34.68,0.425772,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q9|L=semi_sol,29.52,0.6667,32.87,0.345032,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q9|L=transicao,29.52,0.6667,31.42,0.238877,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q9|L=semi_fundid,29.52,0.6667,30.61,0.130701,,,,,N/A,NOT REACHED
