label,a0_RE,e0,a_final_RE,e_final,t_star_a_kyr,t_star_e_kyr,ratio_a,ratio_e,status_a,status_e
P1-03|f5|T=jovem_Q9|L=fundida,29.52,0.6667,30.15,0.054906,,833.39,,69.4493,N/A,DIVERGENTE
P1-03|f5|T=jovem_Q7|L=quase_sol,29.52,0.6667,35.42,0.423225,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q7|L=semi_sol,29.52,0.6667,33.54,0.347777,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q7|L=transicao,29.52,0.6667,31.88,0.243254,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q7|L=semi_fundid,29.52,0.6667,30.89,0.134209,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q7|L=fundida,29.52,0.6667,30.32,0.055120,,852.38,,71.0313,N/A,DIVERGENTE
P1-03|f5|T=jovem_Q5|L=quase_sol,29.52,0.6667,36.46,0.418401,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q5|L=semi_sol,29.52,0.6667,34.56,0.351000,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q5|L=transicao,29.52,0.6667,32.63,0.250002,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q5|L=semi_fundid,29.52,0.6667,31.38,0.140096,,,,,N/A,NOT REACHED
P1-03|f5|T=jovem_Q5|L=fundida,29.52,0.6667,30.64,0.055034,,887.25,,73.9378,N/A,DIVERGENTE
P1-03|f8|T=atual_Q12|L=quase_sol,44.28,0.7778,48.78,0.587918,,,,,N/A,NOT REACHED
P1-03|f8|T=atual_Q12|L=semi_sol,44.28,0.7778,46.89,0.528855,,,,,N/A,NOT REACHED
P1-03|f8|T=atual_Q12|L=transicao,44.28,0.7778,45.61,0.454978,,,,,N/A,NOT REACHED
P1-03|f8|T=atual_Q12|L=semi_fundid,44.28,0.7778,44.96,0.376658,,,,,N/A,NOT REACHED
P1-03|f8|T=atual_Q12|L=fundida,44.28,0.7778,44.63,0.293831,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q9|L=quase_sol,44.28,0.7778,49.63,0.584979,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q9|L=semi_sol,44.28,0.7778,47.56,0.529328,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q9|L=transicao,44.28,0.7778,46.01,0.456381,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q9|L=semi_fundid,44.28,0.7778,45.17,0.377873,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q9|L=fundida,44.28,0.7778,44.74,0.294685,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q7|L=quase_sol,44.28,0.7778,50.42,0.581714,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q7|L=semi_sol,44.28,0.7778,48.24,0.529553,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q7|L=transicao,44.28,0.7778,46.44,0.457820,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q7|L=semi_fundid,44.28,0.7778,45.41,0.379206,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q7|L=fundida,44.28,0.7778,44.87,0.295643,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q5|L=quase_sol,44.28,0.7778,51.53,0.576239,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q5|L=semi_sol,44.28,0.7778,49.30,0.529377,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q5|L=transicao,44.28,0.7778,47.16,0.460027,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q5|L=semi_fundid,44.28,0.7778,45.83,0.381462,,,,,N/A,NOT REACHED
P1-03|f8|T=jovem_Q5|L=fundida,44.28,0.7778,45.10,0.297323,,,,,N/A,NOT REACHED
P1-03|f12|T=atual_Q12|L=quase_sol,63.96,0.8462,68.72,0.695816,,,,,N/A,NOT REACHED
P1-03|f12|T=atual_Q12|L=semi_sol,63.96,0.8462,66.64,0.653953,,,,,N/A,NOT REACHED
P1-03|f12|T=atual_Q12|L=transicao,63.96,0.8462,65.28,0.601555,,,,,N/A,NOT REACHED
P1-03|f12|T=atual_Q12|L=semi_fundid,63.96,0.8462,64.61,0.545624,,,,,N/A,NOT REACHED
P1-03|f12|T=atual_Q12|L=fundida,63.96,0.8462,64.29,0.485921,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q9|L=quase_sol,63.96,0.8462,69.62,0.692830,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q9|L=semi_sol,63.96,0.8462,67.33,0.653449,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q9|L=transicao,63.96,0.8462,65.68,0.601901,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q9|L=semi_fundid,63.96,0.8462,64.82,0.546044,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q9|L=fundida,63.96,0.8462,64.39,0.486244,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q7|L=quase_sol,63.96,0.8462,70.47,0.689657,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q7|L=semi_sol,63.96,0.8462,68.04,0.652775,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q7|L=transicao,63.96,0.8462,66.12,0.602234,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q7|L=semi_fundid,63.96,0.8462,65.06,0.546505,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q7|L=fundida,63.96,0.8462,64.51,0.486607,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q5|L=quase_sol,63.96,0.8462,71.66,0.684530,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q5|L=semi_sol,63.96,0.8462,69.15,0.651397,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q5|L=transicao,63.96,0.8462,66.85,0.602691,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q5|L=semi_fundid,63.96,0.8462,65.46,0.547280,,,,,N/A,NOT REACHED
P1-03|f12|T=jovem_Q5|L=fundida,63.96,0.8462,64.73,0.487245,,,,,N/A,NOT REACHED
P1-03|f20|T=atual_Q12|L=quase_sol,103.32,0.9048,108.51,0.796339,,,,,N/A,NOT REACHED
P1-03|f20|T=atual_Q12|L=semi_sol,103.32,0.9048,106.16,0.769529,,,,,N/A,NOT REACHED
P1-03|f20|T=atual_Q12|L=transicao,103.32,0.9048,104.69,0.735763,,,,,N/A,NOT REACHED
P1-03|f20|T=atual_Q12|L=semi_fundid,103.32,0.9048,103.98,0.699427,,,,,N/A,NOT REACHED
P1-03|f20|T=atual_Q12|L=fundida,103.32,0.9048,103.65,0.660432,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q9|L=quase_sol,103.32,0.9048,109.50,0.793796,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q9|L=semi_sol,103.32,0.9048,106.91,0.768672,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q9|L=transicao,103.32,0.9048,105.11,0.735611,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q9|L=semi_fundid,103.32,0.9048,104.20,0.699462,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q9|L=fundida,103.32,0.9048,103.75,0.660497,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q7|L=quase_sol,103.32,0.9048,110.43,0.791156,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q7|L=semi_sol,103.32,0.9048,107.67,0.767698,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q7|L=transicao,103.32,0.9048,105.56,0.735423,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q7|L=semi_fundid,103.32,0.9048,104.43,0.699496,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q7|L=fundida,103.32,0.9048,103.87,0.660569,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q5|L=quase_sol,103.32,0.9048,111.74,0.786980,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q5|L=semi_sol,103.32,0.9048,108.86,0.765978,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q5|L=transicao,103.32,0.9048,106.33,0.735054,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q5|L=semi_fundid,103.32,0.9048,104.85,0.699543,,,,,N/A,NOT REACHED
P1-03|f20|T=jovem_Q5|L=fundida,103.32,0.9048,104.09,0.660695,,,,,N/A,NOT REACHED
P1-06|f3|T=atual_Q12|L=quase_sol,31.02,0.5000,32.38,0.431471,,,,,N/A,NOT REACHED
P1-06|f3|T=atual_Q12|L=semi_sol,31.02,0.5000,32.06,0.383668,,,,,N/A,NOT REACHED
P1-06|f3|T=atual_Q12|L=transicao,31.02,0.5000,31.71,0.309389,,,,,N/A,NOT REACHED
P1-06|f3|T=atual_Q12|L=semi_fundid,31.02,0.5000,31.45,0.221508,,,,,N/A,NOT REACHED
P1-06|f3|T=atual_Q12|L=fundida,31.02,0.5000,31.29,0.128316,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q9|L=quase_sol,31.02,0.5000,32.72,0.426669,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q9|L=semi_sol,31.02,0.5000,32.35,0.381815,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q9|L=transicao,31.02,0.5000,31.92,0.309589,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q9|L=semi_fundid,31.02,0.5000,31.59,0.222386,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q9|L=fundida,31.02,0.5000,31.38,0.129167,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q7|L=quase_sol,31.02,0.5000,33.06,0.421745,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q7|L=semi_sol,31.02,0.5000,32.65,0.379776,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q7|L=transicao,31.02,0.5000,32.15,0.309753,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q7|L=semi_fundid,31.02,0.5000,31.74,0.223344,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q7|L=fundida,31.02,0.5000,31.48,0.130121,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q5|L=quase_sol,31.02,0.5000,33.59,0.414055,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q5|L=semi_sol,31.02,0.5000,33.14,0.376309,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q5|L=transicao,31.02,0.5000,32.53,0.309901,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q5|L=semi_fundid,31.02,0.5000,32.01,0.224950,,,,,N/A,NOT REACHED
P1-06|f3|T=jovem_Q5|L=fundida,31.02,0.5000,31.66,0.131787,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q4|L=quase_sol,31.02,0.5000,33.99,0.408280,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q4|L=semi_sol,31.02,0.5000,33.52,0.373482,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q4|L=transicao,31.02,0.5000,32.84,0.309903,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q4|L=semi_fundid,31.02,0.5000,32.23,0.226237,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q4|L=fundida,31.02,0.5000,31.81,0.133186,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q3|L=quase_sol,31.02,0.5000,34.56,0.400013,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q3|L=semi_sol,31.02,0.5000,34.07,0.369109,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q3|L=transicao,31.02,0.5000,33.32,0.309705,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q3|L=semi_fundid,31.02,0.5000,32.58,0.228180,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q3|L=fundida,31.02,0.5000,32.05,0.135424,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q2|L=quase_sol,31.02,0.5000,35.45,0.386902,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q2|L=semi_sol,31.02,0.5000,34.97,0.361426,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q2|L=transicao,31.02,0.5000,34.14,0.308790,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q2|L=semi_fundid,31.02,0.5000,33.23,0.231418,,,,,N/A,NOT REACHED
P1-06|f3|T=turb_Q2|L=fundida,31.02,0.5000,32.51,0.139561,,,,,N/A,NOT REACHED
P1-06|f5|T=atual_Q12|L=quase_sol,46.53,0.6667,48.05,0.606001,,,,,N/A,NOT REACHED
P1-06|f5|T=atual_Q12|L=semi_sol,46.53,0.6667,47.62,0.569040,,,,,N/A,NOT REACHED
P1-06|f5|T=atual_Q12|L=transicao,46.53,0.6667,47.19,0.514514,,,,,N/A,NOT REACHED
P1-06|f5|T=atual_Q12|L=semi_fundid,46.53,0.6667,46.91,0.451101,,,,,N/A,NOT REACHED
P1-06|f5|T=atual_Q12|L=fundida,46.53,0.6667,46.74,0.380965,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q9|L=quase_sol,46.53,0.6667,48.42,0.601803,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q9|L=semi_sol,46.53,0.6667,47.92,0.567171,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q9|L=transicao,46.53,0.6667,47.40,0.514128,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q9|L=semi_fundid,46.53,0.6667,47.03,0.451243,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q9|L=fundida,46.53,0.6667,46.81,0.381215,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q7|L=quase_sol,46.53,0.6667,48.79,0.597497,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q7|L=semi_sol,46.53,0.6667,48.24,0.565134,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q7|L=transicao,46.53,0.6667,47.62,0.513677,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q7|L=semi_fundid,46.53,0.6667,47.17,0.451393,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q7|L=fundida,46.53,0.6667,46.89,0.381495,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q5|L=quase_sol,46.53,0.6667,49.37,0.590767,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q5|L=semi_sol,46.53,0.6667,48.75,0.561710,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q5|L=transicao,46.53,0.6667,48.00,0.512845,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q5|L=semi_fundid,46.53,0.6667,47.41,0.451633,,,,,N/A,NOT REACHED
P1-06|f5|T=jovem_Q5|L=fundida,46.53,0.6667,47.04,0.381985,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q4|L=quase_sol,46.53,0.6667,49.80,0.585706,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q4|L=semi_sol,46.53,0.6667,49.15,0.558948,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q4|L=transicao,46.53,0.6667,48.31,0.512104,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q4|L=semi_fundid,46.53,0.6667,47.61,0.451812,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q4|L=fundida,46.53,0.6667,47.16,0.382397,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q3|L=quase_sol,46.53,0.6667,50.40,0.578449,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q3|L=semi_sol,46.53,0.6667,49.73,0.554714,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q3|L=transicao,46.53,0.6667,48.78,0.510849,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q3|L=semi_fundid,46.53,0.6667,47.94,0.452054,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q3|L=fundida,46.53,0.6667,47.36,0.383059,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q2|L=quase_sol,46.53,0.6667,51.34,0.566899,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q2|L=semi_sol,46.53,0.6667,50.68,0.547355,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q2|L=transicao,46.53,0.6667,49.62,0.508319,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q2|L=semi_fundid,46.53,0.6667,48.54,0.452361,,,,,N/A,NOT REACHED
P1-06|f5|T=turb_Q2|L=fundida,46.53,0.6667,47.74,0.384284,,,,,N/A,NOT REACHED
P1-06|f8|T=atual_Q12|L=quase_sol,69.80,0.7778,71.57,0.725745,,,,,N/A,NOT REACHED
P1-06|f8|T=atual_Q12|L=semi_sol,69.80,0.7778,71.00,0.697986,,,,,N/A,NOT REACHED
P1-06|f8|T=atual_Q12|L=transicao,69.80,0.7778,70.50,0.658641,,,,,N/A,NOT REACHED
P1-06|f8|T=atual_Q12|L=semi_fundid,69.80,0.7778,70.18,0.613781,,,,,N/A,NOT REACHED
P1-06|f8|T=atual_Q12|L=fundida,69.80,0.7778,70.00,0.564499,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q9|L=quase_sol,69.80,0.7778,72.00,0.722322,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q9|L=semi_sol,69.80,0.7778,71.34,0.696386,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q9|L=transicao,69.80,0.7778,70.71,0.658143,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q9|L=semi_fundid,69.80,0.7778,70.31,0.613697,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q9|L=fundida,69.80,0.7778,70.07,0.564538,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q7|L=quase_sol,69.80,0.7778,72.42,0.718817,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q7|L=semi_sol,69.80,0.7778,71.69,0.694647,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q7|L=transicao,69.80,0.7778,70.95,0.657577,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q7|L=semi_fundid,69.80,0.7778,70.44,0.613599,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q7|L=fundida,69.80,0.7778,70.15,0.564583,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q5|L=quase_sol,69.80,0.7778,73.07,0.713346,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q5|L=semi_sol,69.80,0.7778,72.26,0.691734,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q5|L=transicao,69.80,0.7778,71.35,0.656573,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q5|L=semi_fundid,69.80,0.7778,70.69,0.613415,,,,,N/A,NOT REACHED
P1-06|f8|T=jovem_Q5|L=fundida,69.80,0.7778,70.29,0.564658,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q4|L=quase_sol,69.80,0.7778,73.55,0.709238,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q4|L=semi_sol,69.80,0.7778,72.70,0.689392,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q4|L=transicao,69.80,0.7778,71.68,0.655713,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q4|L=semi_fundid,69.80,0.7778,70.90,0.613247,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q4|L=fundida,69.80,0.7778,70.41,0.564719,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q3|L=quase_sol,69.80,0.7778,74.22,0.703350,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q3|L=semi_sol,69.80,0.7778,73.35,0.685812,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q3|L=transicao,69.80,0.7778,72.19,0.654308,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q3|L=semi_fundid,69.80,0.7778,71.23,0.612953,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q3|L=fundida,69.80,0.7778,70.60,0.564812,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q2|L=quase_sol,69.80,0.7778,75.25,0.693978,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q2|L=semi_sol,69.80,0.7778,74.39,0.679615,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q2|L=transicao,69.80,0.7778,73.08,0.651616,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q2|L=semi_fundid,69.80,0.7778,71.85,0.612322,,,,,N/A,NOT REACHED
P1-06|f8|T=turb_Q2|L=fundida,69.80,0.7778,70.98,0.564970,,,,,N/A,NOT REACHED
P1-06|f12|T=atual_Q12|L=quase_sol,100.81,0.8462,102.89,0.801920,,,,,N/A,NOT REACHED
P1-06|f12|T=atual_Q12|L=semi_sol,100.81,0.8462,102.16,0.780889,,,,,N/A,NOT REACHED
P1-06|f12|T=atual_Q12|L=transicao,100.81,0.8462,101.57,0.751841,,,,,N/A,NOT REACHED
P1-06|f12|T=atual_Q12|L=semi_fundid,100.81,0.8462,101.22,0.719108,,,,,N/A,NOT REACHED
P1-06|f12|T=atual_Q12|L=fundida,100.81,0.8462,101.03,0.683298,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q9|L=quase_sol,100.81,0.8462,103.37,0.799174,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q9|L=semi_sol,100.81,0.8462,102.54,0.779577,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q9|L=transicao,100.81,0.8462,101.80,0.751371,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q9|L=semi_fundid,100.81,0.8462,101.35,0.718968,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q9|L=fundida,100.81,0.8462,101.10,0.683272,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q7|L=quase_sol,100.81,0.8462,103.85,0.796368,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q7|L=semi_sol,100.81,0.8462,102.93,0.778153,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q7|L=transicao,100.81,0.8462,102.06,0.750840,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q7|L=semi_fundid,100.81,0.8462,101.50,0.718807,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q7|L=fundida,100.81,0.8462,101.18,0.683241,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q5|L=quase_sol,100.81,0.8462,104.58,0.791996,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q5|L=semi_sol,100.81,0.8462,103.57,0.775771,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q5|L=transicao,100.81,0.8462,102.49,0.749907,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q5|L=semi_fundid,100.81,0.8462,101.75,0.718516,,,,,N/A,NOT REACHED
P1-06|f12|T=jovem_Q5|L=fundida,100.81,0.8462,101.32,0.683184,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q4|L=quase_sol,100.81,0.8462,105.11,0.788717,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q4|L=semi_sol,100.81,0.8462,104.05,0.773859,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q4|L=transicao,100.81,0.8462,102.85,0.749115,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q4|L=semi_fundid,100.81,0.8462,101.97,0.718262,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q4|L=fundida,100.81,0.8462,101.44,0.683134,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q3|L=quase_sol,100.81,0.8462,105.84,0.784022,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q3|L=semi_sol,100.81,0.8462,104.76,0.770941,,,,,N/A,NOT REACHED
P1-06|f12|T=turb_Q3|L=transicao,100.81,0.8462,103.40,0.747835,,,,,N/A,NOT REACHED
